,Chapter,Topic,Content
10,Chapter 2- Is matter around us pure,Types Of Pure Substances,"On the basis of their chemical composition substances can be classified either as elements or compound. Elements: An element is a basic form of matter that can not be broken down into simpler substances by chemical reaction. It is divided into metals, non-metals and metalloids. Properties of metals They have a lusture. They have silvery-grey or golden- yellow color. They conduct heat and electricity. They are ductile. They are malleable. They are sonorous. Ex- Gold, Silver, Copper, Iron, Sodium, Potassium etc. Mercury is the only metal that is found liquid at room temperature. Properties of non-metal They display a variety of colors. They are poor conductors of heat and electricity. They are not lustrous, sonorous, or malleable. Ex- hydrogen, oxygen, iodine, Carbon(coal and coke) ,Bromine and Chlorine etc. Metalloids Some elements have intermediate properties between those of metals and non-metals, they are called metalloids. Ex- Boron, Silicon and Germanium etc. Some characteristics of elements: Majority of the elements are solid. Eleven elements are in a gaseous state at room temperature. Two elements are liquid at room temperature that is Mercury and Bromine. Elements like Gallium and Cesium become liquid at temperature slightly above room temperature(303K). Compound A compound is a substance composed of two or more elements, chemically combined with one another in a fixed proportion. Difference between mixture and Compound:- Mixture Compounds Elements or compounds just mix together to form a mixture and no new compound is formed. Elements react to form new compounds. A mixture has a variable composition. The composition of each new substance is always fixed. A mixture shows the properties of the constituent substances. The new substance has totally different properties. The constituents can be separated fairly easily by physical methods. The constituents can be separated only by chemical or electrochemical reactions."
11,Chapter 3-Atoms and Molecules,Introduction of Atoms and Molecules,"Around 500BC. An Indian philosopher Maharishi Kanad, postulated that if he go on dividing matter (padarth), we shall get smaller and smaller particles. Ultimately, a time will come when we shall come across the smallest particles beyond which further division will not be possible which is known as “Parmanu”. Ancient Greek philosophers-Democritus and Leucippus called these indivisible particles Atoms. Antoine L. Lavoisier laid the foundation of chemical sciences by establishing two important laws of chemical combination. Laws of chemical combination This law established after much experimentations by Lavoisier and Joseph L. Proust. law of conservation of mass: law of conservation of mass states that mass can neither ne created nor be destroyed in a chemical reaction. Ex-A (reactant) + B(reactant)=AB ( Product) mass of A + mass of B=mass of AB Law of constant proportion: In a chemical reaction, compounds always contain the same elements present in definite proportion by mass irrespective of their source. Ex-> 1. ) 18gm of H 2 O = 2gm of Hydrogen + 1gm of Oxygen mass of hydrogen mass of oxygen = 2 16 = 1 8 2. ) 36gm of H 2 O = 4gm of Hydrogen + 32gm of Oxygen mass of hydrogen mass of oxygen = 4 32 = 1 8 This verifies law of constant proportions as the ratio of mass of hydrogen to oxygen is always same."
12,Chapter 3-Atoms and Molecules,Dalton’s Atomic theory,"According to Dalton’s Atomic theory, all matter, whether an element, a compound or a mixture is composed of small particles called atoms. Six postulates of Dalton’s Atomic theory: All matter is made of very tiny particles called atoms. Atoms are indivisible particles, which cannot be created or destroyed in a chemical reaction. Atoms of a given element are identical in mass and chemical properties Atoms of different elements have different masses and chemical properties. Atoms combine in the ratio of small whole numbers to form compounds. The relative number and kinds of atoms are constant in a given compound. Atoms: Atoms are building blocks of all matter. According to modern Atomic theory, an element is the smallest particle of an element which takes part in chemical reaction. Atoms are very small and which can’t be seen even through very powerful microscope. Atomic radius is measured in nanometres. 1nm=10-9m Modern day symbols of Atoms of different elements. Dalton was the first scientist to use the symbols for elements in a very specific sense. Berzilius suggested that the symbols of elements be made from one or two letters of the name of the element."
13,Chapter 3-Atoms and Molecules,Atomic mass,"Dalton’s Atomic theory proposed the idea of atomic mass which explained the law of constant proportion so well that scientists were prompted to measure the atomic mass of an atom. The mass of an atom of an element is called its atomic mass. In 1961, IUPAC have accepted atomic mass unit (u) to express atomic and molecular mass of elements and compounds. The atomic mass unit is defined as the quantity of mass = 1/12 of mass of an atom carbon-12. 1 amu or u =1/12 mass of an atom of carbon-12 1u = 1.66  10-27kg Element Atomic mass(u) Hydrogen 1 Carbon 12 Nitrogen 14 Oxygen 16 Sodium 23 Magnesium 24 Sulphur 32 Chlorine 35.5 Calcium 40 Atomic existence Most of the atoms of elements are not able to exist independently. Atoms from molecules and ions and these molecules or ions aggregate in large numbers to form matter."
14,Chapter 3-Atoms and Molecules,Molecule,"A molecule is in general a group of two or more atoms that are chemically bonded together. A molecule can be defined as the smallest particle of an element or a compound that is capable of an independent existence and show all the properties of that substance. Atoms of the same elements join together to form molecules then it is called homo molecules. Ex-H2, and O2. Atoms of the different elements join together to form molecules then it is called hetero molecules. Ex- H2O, SO2 Monoatomic: When molecule consisting of only one atom then it is called monoatomic. Ex- Argon(Ar) , Helium(He) Diatomic: A molecule which contains two atoms then it is called diatomic. Ex- H2, O2. Triatomic: A molecule which contain three atoms then it is called triatomic. Ex- Phosphorus (P3) Polyatomic: A molecule which contain four atoms then it is called polyatomic. Ex- Sulphur(S4)"
15,Chapter 3-Atoms and Molecules,Ions,"Compounds composed of metals and non-metals contain charged species. The charged species are known as ions. A negatively charged ion is called an “anion” and a positively charged ion is called a ” cation”. Ex-NaCl where Na+ and Cl– Ions may consist of a single charged atom or a group of atoms that have a net charge on them. Polyatomic ion: A group of atoms carrying a charge is known as a polyatomic ion. Chemical Formula: The chemical formula of a compound is a symbolic representation of its composition. Characteristics of chemical formulae: The valencies or charges on the ion must balance. When a compound is formed of metal and non-metal, symbol of metal comes first. Ex- CaO, NaCl, CuO. When polyatomic ions are used, the ions are enclosed in brackets before writing the number to show the ratio. Ex- Ca(OH)2, (NH4)2SO4 Rules for writing chemical formulae We first write symbol of element which form compound. Below the symbol of each element, we should write their valency. Now cross over the valencies of combining atoms. With first atom, we write the valency of second atom ( as a subscript) With second atom, we write the valency of first atom( Subscript)."
16,Chapter 3-Atoms and Molecules,Molecular Mass,"The molecular mass of a substance is the sum of the atomic masses of all the atoms in a molecule of the substance. Ex- Atomic mass of H2O = 2Atomic mass of Hydrogen + 1Atomic mass of Oxygen = 21 + 116 = 2 + 16 = 18 u Formula Unit Mass The formula unit mass of a substance is a sum of the atomic masses of all atoms in a formula unit of a compound. It is calculated in the same manner of molecules mass. Ex- Calculate the formula unit mass of CaCl2. = Atomic mass of Ca + 2Atomic mass of Chlorine = 40 + 235.5 = 40 + 71 = 111u Ions: An ion may be defined as an atom or group of atoms having positive or negative charge. Some positively charged ions : Na+, K+, Ca2+, Al3+ Some negatively charged ions. Cl– ( Chlorine ion), S2-( Sulphide ion) We can classify ions in two types: Simple ions Mg2+( Magnesium ion) Na+ ( Sodium ion) Cl– ( Chloride ion) Al3+ ( Aluminium ion) Compound ions NH4- (Ammonium ion) CO32-(Carbonate ion) SO42-(Sulphate ion) OH– ( Hydroxide ion) Chemical formulae of ionic compounds(polyatomic)"
17,Chapter 3-Atoms and Molecules,Mole Concept,"A group of 6.0221023 particles ( atoms, molecules or ions) of a substance is called a mole of that substance. 1 mole of atoms = 6.0221023atoms 1 mole of molecules = 6.0221023molecules Ex-1 mole of oxygen = 6.0221023 oxygen atoms. NOTE: 6.0221023 is Avogadro number (L). 1 mole of atoms of an element has a mass equal to gram atomic mass of the element. MOLAR MASS : The molar mass of a substance is the mass of 1 mole of that substance. It is equal to the 6.0221023 atoms of that element/ substance. EXAMPLE: Atomic mass of hydrogen(H) is 1u. Its molar mass 1g/mol. Atomic mass of Nitrogen(N) is 14u. So, its molar mass of nitrogen is 14g/mol. Molar mas of S8 = mass of S8 = 328 = 256g/mol. Molar mass of HCl = mass of H + mass of Cl = 1+ 35.5=36.5g/mol. IMPORTANT FORMULAE Number of moles(n)= given mass/molar mass=m/M Number of moles(n)= Given number of particles/Avogadro’s number m/M = N/N0 m=MN/N0 Percentage of any atom in given compound = Mass of element/mass of compound100 Example: Calculate the number of moles for the following:- (1) 52g of He ( Finding mole from mass ) (2) 12.0441023 number of He atoms (finding mole from number of particles). Sol:- No. of moles = n Given mass = m Molar mass = M Given number of particles = N Avogadro’s number of particles = N0 Atomic mass of He = 4u molar mass of He = 4g The number of moles = Given mass/Molar mass n = 52/4 = 13 1 mole = 6.0221023 number of moles = Given number of particles/ Avogadro number n = N/N0 = 12.0441023/6.0221023 = 2"
18,Chapter 4 - Structure of the Atom,Discovery of Electrons-Cathode rays(J.J Thomson),"Many scientists contributed in revealing the presence of charged particles in an atom. It was known by 1900 that the atom was not a simple, indivisible particle but contained at least one sub-atomic particle – The electron identified by J.J Thomson. Even before the electron was identified , E. Goldstein in 1886 discovered the presence of new radiations in a gas discharge and called them canal rays. These rays were positively charged radiations which ultimately led to the discovery of another sub-atomic particle. This sub-atomic particle had a charge, equal in magnitude but opposite in sign to that of the electron. Its mass was approximately 2000 times as that of the electron. It was given the name of proton. In general, an electron is represented as ‘ e– ‘ and a proton as ‘ p+ ‘. The mass of a proton is taken as one unit and its charge as plus one. The mass of an electron is considered to negligible and its charge is minus one. It seemed highly likely that an atom was composed protons and electrons, mutually balancing their charges. It also appeared that the protons were in the interior of the atom, for whereas electrons could easily be peeled off but not protons."
19,Chapter 4 - Structure of the Atom,Rutherford’s Model Of An Atom,"Ernest Rutherford designed an experiment, fast moving alpha (α) particles were made to fall on a thin gold foil. he selected a gold foil because he wanted as thin a layer as possible. This gold foil was about 1000 atoms thick. α-particles are doubly- charged helium ions. Since they have a mass of 4u, the fast-moving α-particles have a considerable amount of enegy. It was expected that α-particles would be deflected by the sub-atomic particles in the gold atoms. Since the α-particles were much heavier than the protons, he did not expect to see large deflections. But, the α-particles scattering experiment gave totally unexpected results, the following observations were made: Most of the fast moving α-particles passed straight through the gold foil. Some of the α-particles were deflected by the foil by small angles. Surprisingly one out of every 12000 particles appeared to rebound. In the words of Rutherford ” This result was almost as incredible as if you fire a 15-inch shell at a piece of tissue and it comes back and hits you”. Activity: Let a child stand in front of a wall with his eyes closed. let him throw stones at the wall from a distance. He will hear a sound when each stone striking the wall. If he repeats this ten times, he will hear the sound ten times. But if a blind – folded child were to throw stones at a barbed – wire fence, most of the stones would not hit the fencing and no sound would be heard. This is because there are lots of gaps in the fence which allow the stone to pass through them. Rutherford concluded from the α- particles scattering experiment that:- Most of the space inside the atom is empty because most of the α-particles passed through the gold foil without getting deflected. Very few particles were deflected from their path, indicating that the positive charge of the atom occuoies bery little nspace. A very small fraction of α- particles were deflected by1800, indicating that all positive charge and mass of the gold atom were concentrated in a very small volume within the atom. He calculated that the radius of the nucleus is about 105 times less than the radius of the atom. On the basis of his experiment Rutherford put forward the nuclear model of an atom. Which had the following features: There is a positively charged centre in an atom called the nucleus. Nearly all the mass of an atom resides in the nucleus. The electrons revolve around the nucleus in circular paths. the size of the nucleus is very small as compared to the size of the atom. Drawbacks of Rutherford’s model of the atom The revolution of the electron in in a circular orbit is not expected to be stable. Any particle in a circular orbit would undergo acceleration. During acceleration, charged particles would radiate energy. Thus, the revolving electron would lose energy and finally fall into the nucleus. If this were so, the atom should be highly unstable and hence matter would not exist in the form that we know that atoms are quite stable."
20,Chapter 4 - Structure of the Atom,Bohr’s Model of Atom,"In order to overcome the objections raised against Rutherford’s model of the atom, Neils Bohr put forward the following postulates about the model of an atom: Only certain special orbits known as discrete orbits of electrons, are allowed inside the atom. While revolving in discrete orbits the electrons do not radiate energy. These orbits or shells are called energy levels. Energy levels in an atom are shown in image- These orbits or shells are represented by the letters K,L,M,N….. or the numbers n= 1,2,3,4…."
21,Chapter 4 - Structure of the Atom,Neutrons,"In 1932, J. Chadwick discovered another sub-atomic particle which had no charge and a mass nearly equal to that of a proton. It was eventually named as neutron. Neutrons are present in the nucleus of all atoms, except hydrogen. In general, a neutron is represented as ‘n’. The mass of an atom is therefore given by the sum of the masses of protons and neutrons present in the nucleus. particles Explorer mass charge Electron J.J Thomson(1897) 9.110-31kg -Ve Proton Rutherford(1917) 1.672510-27kg +Ve Neutron Chadwick(1932) 1.674810-27kg No charge How are Electrons Distributed in Different Orbits (Shells)? The distribution of electrons into different orbits of an atom was suggested by Bohr and Bury. The following rules are followed for writing the number of electrons in different energy levels or shells: The maximum number of electrons present in a shell is given by the formula 2n2, where ‘n’ is the orbit number or energy level index, 1,2,3,…. Hence the maximum number of electrons in different shells are as follows: – First orbit or K-shell will be = 2×12= 2, Second orbit or L-shell will be = 2×22=8 Third shell or M-shell will be = 2×32 = 18, Fourth orbit or N-shell will be = 2×42 = 32, and so on. The maximum number of electrons that can be accommodated in a given shell, unless the inner shells are filled. That is, the shells are filed in a step-wise manner. Atomic structure of the first eighteen elements is shown in image- fig: Schematic atomic structure of the first eighteenth elements"
22,Chapter 4 - Structure of the Atom,The structure of an atom,"The discovery of two fundamental particles (electrons and protons) inside the atom, led to the failure of this aspect Dalton’s atomic theory. It was then considered necessary to know how electrons and protons are arranged within an atom. For example this, many scientists proposed various atomic models. J.J Thomson was the first one to propose a model for the structure of an atom. Thomson’s Model Of An Atom Thomson proposed the model of an atom to be similar to that of a Christmas pudding. The electrons, in a sphere of positive charge, were like currants (dry fruits) in a spherical Christmas pudding. A watermelon, the positive charge in the atom is spread all over like the red edible part of the watermelon, while the electrons are studded in the positively charged sphere, like the seeds in the watermelon. Thomson proposed that: An atom consists of a positively charged sphere and the electrons are embedded in it. The negative and positive charges are equal in magnitude. So, the atom as a whole is electrically neutral. Conclusion: Although Thomson’s model explained that atoms are electrically neutral, the results of experiments carried out by other scientists could not be explained by this model."
23,Chapter 4 - Structure of the Atom,Atomic Number and Mass Number,"ATOMIC NUMBER: Protons are present in the nucleus of an atom. It is the number of protons of an atom. which determines its atomic number. It is denoted by ‘Z’. All atoms of an element have the same atomic number, Z. In fact, elements are defined by the number of protons they posses. For hydrogen, Z=1, because in hydrogen atom, only one proton is present in the nucleus. Similarly, for carbon, Z=6. Therefore, the atomic number is defined as the total number of protons present in the nucleus of an atom. MASS NUMBER: After studying the properties of the sub- atomic particles of an atom, we can conclude that mass of an atom is practically dur to protons and neutrons alone. These are present in the nucleus of an atom. Hence protons and neutrons are also called nucleus. Therefore, the mass of an atom resides in its nucleus. For ex – Mass of carbon 12u because it has 6 protons and 6 neutrons, 6u + 6+ = 12u. Similarly , the mass of aluminium is 27u ( 13 protons + 14 neutrons ). The mass number is defined as the sum of the total number of protons and neutrons present in the nucleus of an atom. In the notation fort an atom, the atomic number, mass number and symbol of the element are to be written as"
24,Chapter 4 - Structure of the Atom,Valency,"The electrons in an atom are arranged in different shells/orbits. The electrons present in the outermost shell of an atom are known as the valence electrons. From the Bohr-Bury scheme, we also know that the outermost shell of an atom can accommodate a maximum of 8 electrons. It was observed that the atoms of elements, having a completely filled outermost shell show little chemical activity. in other words, their combining capacity or valency is zero. Of these inert6 elements, the helium atom has two electrons in its outermost shell and all other elements have atoms with eight electrons in the outermost shell. The combining capacity capacity of the atoms of other elements, that is, their tendency to react and form molecules with atoms of the same or different elements, was thus explained as an attempt to attain a fully- filled outermost shell. An outermost-shell, which had eight electrons electrons was said to posses an octet. Atoms would thus react, so as to achieve an octet in the outermost shell. This was done by sharing, gaining or losing electrons. the number of electrons gained, lost or shared so as to make the octet of electrons in the outermost shell, gives us directly the combining capacity of the element. Ex- Hydrogen/ Lithium/ Sodium atoms contain one electron each in their outermost shell, therefore each one of them can lose one electron. So, they are said to have valency of one. The valency of magnesium has two electrons in its outermost shell and aluminium has three electrons in its outermost shell. if the number of electrons in the outermost shell of an atom is close to its full capacity, then valency is determined in a different way. Ex- Fluorine atom has 7 electrons in the outermost shell, and its valency could be 7 but it is easier for fluorine to gain one electron instead of losing seven electron. Hence, its valency is determined by subtracting seven electrons from the octet and this gives you a valency of one for fluorine. Therefore, an atom of each element has a definite combining capacity, called valency. Name of Element Symbol Atomic Number Number of Protons Number of Neutrons Number of Electrons K L M N Valency Hydrogen H 1 1 – 1 1 – – – 1 Helium Hi 2 2 2 2 2 – – – 0 Lithium Li 3 3 4 3 2 1 – – 1 Beryllium Be 4 4 5 4 2 2 – – 2 Boron B 5 5 6 5 2 3 – – 3 Carbon C 6 6 6 6 2 4 – – 4 Nitrogen N 7 7 7 7 2 5 – – 3 Oxygen O 8 8 8 8 2 6 – – 2 Fluorine F 9 9 10 9 2 7 – – 1 Neon Ne 10 10 10 10 2 8 – – 0 Sodium Na 11 11 12 11 2 8 1 – 1 Magnesium Mg 12 12 12 12 2 8 2 – 2 Aluminium Al 13 13 14 13 2 8 3 – 3 Silicon Si 14 14 14 14 2 8 4 – 4 Phosphorus P 15 15 16 15 2 8 5 – 3,5 Sulphur S 16 16 16 16 2 8 6 – 2 Chlorine Cl 17 17 18 17 2 8 7 – 1 Argon Ar 18 18 22 18 2 8 8 – 0"
25,Chapter 4 - Structure of the Atom,Isotopes and Isobars,"Isotopes are defined as the atoms of the same element, which have the same atomic number but different mass numbers. For example, take the case of hydrogen atom, it has three atomic species, namely protium ( 11H ), deuterium ( 1 2H or D) and tritium (11H or T ).The atomic number of each one is 1, but the mass number is 1, 2 and 3, respective. Other such examples are (1) Carbon 612C and 614C, (2) Chlorine, 1735Cl and 1737Cl, etc. Many elements consist of a mixture of isotopes. Each isotopes of an element is a pure substance. The chemical properties of isotopes are similar but their physical properties are different. Chlorine occurs in nature in two isotopic forms, with masses 35u and 37u in the ratio of 3:1. The mass of an atom of any natural element is taken as the average mass of all the naturally occuring atoms of that element. If an atom has no isotopes, then the mass of its atom would be the same as the sum of protons and neutrons in it, then we have to know the percentage of each isotopic form and then the average mass is calculated. (3575/100 +3725/100) = 105/4 + 37/4 = 142/4 = 35.5u So, it will contain both isotopes of chlorine and the average mass is 35.5u. APPLICATION: Chemical properties of all the isotopes of an element are the same, some of them are as follows:- An isotope of uranium is used as a fuel in nuclear reactions. An isotope of cobalt is used in the treatment of cancer. An isotope of iodine is used in the treatment of goitre. Isobars The number of electrons in these atoms is different, but the mass number of both these elements is 40. That is, the total number of nucleus is the same in the atoms of this pair of elements. Atoms of different atomic numbers, which have the same mass number, are known as isobars."
26,Chapter 5 - The Fundamental Unit of Life,Introduction of The Fundamental Unit of Life,"Cell is the structural and functional unit of life. It is the basic unit of life. Cells were first discovered by Robert Hooke in 1665. He observed the cells in a cork slice with the help of a primitive microscope. Leeuwenhoek (1674), with the improved microscope, discovered the free living cells in pond water for the first time. It was Robert Brown in 1831 who discovered the nucleus in the cell. Purkinje in 1839 coined the term ‘ protoplasm ‘ for the fluid substance of the cell."
